provider,supportedSecret,secretType,isPublic,hasPushProtection,hasValidityCheck,hasExtendedMetadata,base64Supported
Aikido,Aikido API Client Secret,aikido_api_client_secret,False,True,False,False,False
Aikido,Aikido CI Scanning Token,aikido_ci_scanning_token,False,True,False,False,False
Aiven,Aiven Auth Token,aiven_auth_token,True,True,False,False,False
Aiven,Aiven Service Password,aiven_service_password,True,True,False,False,False
Apify,Apify Actor Run API Token,apify_actor_run_api_token,True,True,False,False,False
Apify,Apify Actor Run Proxy Password,apify_actor_run_proxy_password,True,True,False,False,False
Apify,Apify API Token,apify_api_token,True,True,True,{% ifversion ghes %}false{% else %}true{% endif %},False
Apify,Apify Integration API Token,apify_integration_api_token,True,True,False,False,False
Apify,Apify Proxy Password,apify_proxy_password,True,True,False,False,False
Apify,Apify UI Token,apify_ui_token,True,True,False,False,False
Apify,Apify Webhook Dispatch API Token,apify_webhook_dispatch_api_token,True,True,False,False,False
Asaas,Asaas API Token,asaas_api_token,True,False,True,False,False
Baidu,Baidu AI API Key,baiduai_api_key,True,False,False,False,False
Baidu,Baidu Cloud API Access Key,baiducloud_api_accesskey,True,True,False,False,False
Bitrise,Bitrise Personal Access Token,bitrise_personal_access_token,True,True,True,False,False
Bitrise,Bitrise Workspace API Token,bitrise_workspace_api_token,True,True,True,False,False
Block Protocol,Block Protocol API Key,block_protocol_api_key,False,True,True,False,False
Buildkite,Buildkite Agent Access Token,buildkite_agent_access_token,True,True,False,False,False
Buildkite,Buildkite Agent Job Token,buildkite_agent_job_token,True,True,False,False,False
Buildkite,Buildkite Agent Registration Token,buildkite_agent_registration_token,True,True,False,False,False
Buildkite,Buildkite Cluster Queue Token,buildkite_cluster_queue_token,True,True,False,False,False
Buildkite,Buildkite Cluster Token,buildkite_cluster_token,True,True,False,False,False
Buildkite,Buildkite Packages Registry Token,buildkite_packages_registry_token,True,True,False,False,False
Buildkite,Buildkite Packages Temporary Token,buildkite_packages_temporary_token,True,True,False,False,False
Buildkite,Buildkite Portal Secret,buildkite_portal_secret,True,True,False,False,False
Buildkite,Buildkite Portal Token,buildkite_portal_token,True,True,False,False,False
Buildkite,Buildkite User Access Token,buildkite_user_access_token,True,False,False,False,False
Canadian Digital Service,Canadian Digital Service Notify API Key,cds_canada_notify_api_key,True,True,True,False,False
Canva,Canva App Secret,canva_app_secret,True,True,False,False,False
Canva,Canva Connect API Secret,canva_connect_api_secret,True,True,False,False,False
Canva,Canva Secret,canva_secret,True,True,False,False,False
Cashfree,Cashfree API Key,cashfree_api_key,True,True,False,False,False
Cfx.re,Cfx.re Server Key,cfxre_server_key,True,False,False,False,False
Checkout.com,Checkout.com Production Secret Key,checkout_production_secret_key,True,True,True,False,False
Checkout.com,Checkout.com Test Secret Key,checkout_test_secret_key,True,True,True,False,False
Chief Tools,Chief Tools Token,chief_tools_token,True,True,False,False,False
CircleCI,CircleCI Bot API Token,circleci_bot_access_token,True,True,False,False,False
CircleCI,CircleCI Personal Access Token,circleci_personal_access_token,True,True,True,False,False
CircleCI,CircleCI Project Access Token,circleci_project_access_token,True,True,False,False,False
CircleCI,CircleCI Release API Token,circleci_release_integration_token,True,True,False,False,False
Cockroach Labs,CockroachDB Cloud API Key,ccdb_api_key,True,True,True,False,False
Contributed Systems,Contributed Systems Credentials,contributed_systems_credentials,True,False,False,False,False
Coveo,Coveo Access Token,coveo_access_token,True,False,False,False,False
Coveo,Coveo API Key,coveo_api_key,True,False,False,False,False
crates.io,Crates.io API Token,cratesio_api_token,True,True,False,False,False
Databento,Databento API Key,databento_api_key,True,False,True,False,False
Datastax,Datastax AstraCS Tokens,datastax_astracs_token,True,True,False,False,False
DeepSeek,DeepSeek API Key,deepseek_api_key,False,False,True,False,False
DevCycle,DevCycle Client API Key,devcycle_client_api_key,True,True,False,False,False
DevCycle,DevCycle Mobile API Key,devcycle_mobile_api_key,True,True,False,False,False
DevCycle,DevCycle Server API Key,devcycle_server_api_key,True,True,False,False,False
Docker,Docker Organization Access Token,docker_organization_access_token,True,True,False,False,False
Docker,Docker Personal Access Token,docker_personal_access_token,True,True,False,False,False
Docker,Docker Swarm Join Token,docker_swarm_join_token,False,False,False,False,False
Docker,Docker Swarm Unlock Key,docker_swarm_unlock_key,False,False,False,False,False
eBay,eBay Production Client ID (App ID),"ebay_production_client_id, </br>ebay_production_client_secret",False,True,False,False,False
eBay,eBay Sandbox Client ID (App ID),"ebay_sandbox_client_id, </br>ebay_sandbox_client_secret",False,True,False,False,False
Elastic,Elastic Cloud API Key,elastic_cloud_api_key,False,True,False,False,False
